home_win,home_home,home_close_game,home_ot_count,home_q1_points,home_q2_points,home_q3_points,home_q4_points,home_ot_points,home_final_points,home_field_made,home_field_percent,home_three_made,home_three_percent,home_free_made,home_free_percent,home_offensive_rebounds,home_defensive_rebounds,home_total_rebounds,home_assists,home_steals,home_blocks,home_turnovers,home_fouls,home_plus_minus,home_pts_paint,home_pts_2nd_chance,home_pts_fast_break,home_largest_lead,home_games_played,home_win_percent,home_opp_q1_points,home_opp_q2_points,home_opp_q3_points,home_opp_q4_points,home_opp_ot_points,home_opp_final_points,home_opp_field_made,home_opp_field_percent,home_opp_three_made,home_opp_three_percent,home_opp_free_made,home_opp_free_percent,home_opp_offensive_rebounds,home_opp_defensive_rebounds,home_opp_total_rebounds,home_opp_assists,home_opp_steals,home_opp_blocks,home_opp_turnovers,home_opp_fouls,home_opp_plus_minus,home_opp_pts_paint,home_opp_pts_2nd_chance,home_opp_pts_fast_break,home_opp_largest_lead,home_opp_games_played,home_opp_win_percent,away_win,away_home,away_close_game,away_ot_count,away_q1_points,away_q2_points,away_q3_points,away_q4_points,away_ot_points,away_final_points,away_field_made,away_field_percent,away_three_made,away_three_percent,away_free_made,away_free_percent,away_offensive_rebounds,away_defensive_rebounds,away_total_rebounds,away_assists,away_steals,away_blocks,away_turnovers,away_fouls,away_plus_minus,away_pts_paint,away_pts_2nd_chance,away_pts_fast_break,away_largest_lead,away_games_played,away_win_percent,away_opp_q1_points,away_opp_q2_points,away_opp_q3_points,away_opp_q4_points,away_opp_ot_points,away_opp_final_points,away_opp_field_made,away_opp_field_percent,away_opp_three_made,away_opp_three_percent,away_opp_free_made,away_opp_free_percent,away_opp_offensive_rebounds,away_opp_defensive_rebounds,away_opp_total_rebounds,away_opp_assists,away_opp_steals,away_opp_blocks,away_opp_turnovers,away_opp_fouls,away_opp_plus_minus,away_opp_pts_paint,away_opp_pts_2nd_chance,away_opp_pts_fast_break,away_opp_largest_lead,away_opp_games_played,away_opp_win_percent
1.0,1.0,1.0,0.0,28.0,33.0,38.0,35.0,0.0,134.0,46.0,0.479,16.0,0.471,26.0,0.813,16.0,28.0,44.0,30.0,11.0,1.0,8.0,18.0,8.0,48.0,11.0,14.0,7.0,70.0,0.5285714285714286,23.0,35.0,35.0,33.0,0.0,126.0,49.0,0.557,17.0,0.472,11.0,0.733,7.0,29.0,36.0,28.0,5.0,1.0,16.0,25.0,-8.0,50.0,27.0,19.0,13.0,70.0,0.5142857142857142,1.0,1.0,0.0,0.0,31.0,39.0,15.0,37.0,0.0,122.0,45.0,0.563,13.0,0.433,19.0,1.0,5.0,30.0,35.0,28.0,8.0,8.0,21.0,10.0,10.0,56.0,7.0,13.0,12.0,67.0,0.4925373134328358,35.0,27.0,28.0,22.0,0.0,112.0,46.0,0.5,10.0,0.357,10.0,0.769,10.0,27.0,37.0,29.0,14.0,3.0,13.0,16.0,-10.0,66.0,14.0,20.0,15.0,68.0,0.47058823529411764
0.0,1.0,1.0,0.0,30.0,25.0,27.0,26.0,0.0,108.0,42.0,0.467,6.0,0.273,18.0,0.75,13.0,30.0,43.0,23.0,9.0,3.0,15.0,24.0,-5.0,58.0,16.0,10.0,8.0,71.0,0.5211267605633803,31.0,26.0,17.0,39.0,0.0,113.0,42.0,0.5,10.0,0.323,19.0,0.76,9.0,36.0,45.0,23.0,14.0,5.0,18.0,22.0,5.0,58.0,16.0,12.0,11.0,71.0,0.4084507042253521,0.0,1.0,1.0,0.0,31.0,31.0,23.0,27.0,0.0,108.0,43.0,0.483,12.0,0.333,10.0,0.588,10.0,27.0,37.0,24.0,6.0,2.0,11.0,17.0,-4.0,56.0,14.0,21.0,10.0,70.0,0.5714285714285714,27.0,32.0,27.0,22.0,0.0,112.0,42.0,0.477,11.0,0.297,17.0,0.81,12.0,34.0,46.0,18.0,8.0,3.0,11.0,18.0,4.0,50.0,11.0,25.0,7.0,68.0,0.4852941176470588
1.0,0.0,0.0,0.0,30.0,25.0,28.0,19.0,0.0,117.0,43.0,0.457,12.0,0.429,19.0,0.826,18.0,31.0,49.0,26.0,11.0,3.0,10.0,18.0,15.0,54.0,13.0,13.0,0.0,71.0,0.43661971830985913,36.0,23.0,34.0,24.0,0.0,102.0,37.0,0.451,6.0,0.207,22.0,0.917,11.0,29.0,40.0,24.0,7.0,9.0,15.0,14.0,-15.0,60.0,19.0,14.0,16.0,72.0,0.5277777777777778,1.0,0.0,0.0,0.0,39.0,36.0,23.0,25.0,0.0,123.0,40.0,0.488,18.0,0.462,25.0,0.893,15.0,37.0,52.0,24.0,8.0,2.0,18.0,16.0,15.0,56.0,17.0,5.0,0.0,69.0,0.4927536231884058,24.0,16.0,35.0,33.0,0.0,108.0,42.0,0.429,11.0,0.256,13.0,0.65,15.0,26.0,41.0,23.0,9.0,3.0,12.0,24.0,-15.0,38.0,21.0,15.0,40.0,69.0,0.4782608695652174
0.0,1.0,1.0,0.0,22.0,29.0,30.0,19.0,0.0,100.0,41.0,0.477,6.0,0.194,12.0,0.571,12.0,34.0,46.0,21.0,9.0,2.0,14.0,21.0,-1.0,60.0,20.0,12.0,14.0,73.0,0.5205479452054794,23.0,33.0,24.0,21.0,0.0,101.0,39.0,0.419,10.0,0.27,13.0,0.929,12.0,35.0,47.0,19.0,2.0,4.0,12.0,21.0,1.0,54.0,13.0,2.0,5.0,72.0,0.5,0.0,0.0,1.0,0.0,31.0,31.0,21.0,31.0,0.0,110.0,34.0,0.378,11.0,0.25,31.0,0.838,11.0,25.0,36.0,21.0,7.0,3.0,10.0,17.0,-4.0,78.0,20.0,7.0,18.0,69.0,0.2463768115942029,19.0,29.0,26.0,36.0,0.0,114.0,47.0,0.528,8.0,0.276,12.0,0.632,16.0,35.0,51.0,22.0,5.0,3.0,18.0,29.0,4.0,46.0,10.0,20.0,1.0,70.0,0.4857142857142857
1.0,1.0,0.0,0.0,36.0,18.0,38.0,35.0,0.0,127.0,47.0,0.56,18.0,0.486,15.0,0.75,8.0,34.0,42.0,34.0,9.0,5.0,15.0,9.0,22.0,38.0,10.0,12.0,28.0,74.0,0.527027027027027,29.0,25.0,26.0,25.0,0.0,105.0,41.0,0.441,13.0,0.333,10.0,0.909,13.0,27.0,40.0,24.0,6.0,3.0,14.0,20.0,-22.0,46.0,11.0,6.0,7.0,73.0,0.4931506849315068,1.0,1.0,1.0,0.0,28.0,31.0,25.0,27.0,0.0,111.0,36.0,0.462,13.0,0.406,26.0,0.813,9.0,43.0,52.0,25.0,2.0,9.0,15.0,19.0,6.0,52.0,17.0,8.0,9.0,72.0,0.4861111111111111,25.0,24.0,32.0,24.0,0.0,105.0,41.0,0.402,10.0,0.263,13.0,0.765,13.0,31.0,44.0,24.0,8.0,3.0,8.0,28.0,-6.0,38.0,15.0,8.0,16.0,72.0,0.4027777777777778
0.0,1.0,0.0,0.0,37.0,31.0,31.0,32.0,0.0,110.0,39.0,0.52,15.0,0.455,17.0,0.81,2.0,29.0,31.0,29.0,9.0,6.0,20.0,14.0,-21.0,54.0,20.0,14.0,25.0,74.0,0.5,26.0,30.0,29.0,25.0,0.0,131.0,51.0,0.531,21.0,0.618,8.0,0.889,12.0,33.0,45.0,36.0,11.0,3.0,16.0,21.0,21.0,38.0,4.0,14.0,0.0,75.0,0.52,1.0,1.0,0.0,0.0,23.0,36.0,29.0,34.0,0.0,122.0,39.0,0.557,8.0,0.471,36.0,0.783,5.0,31.0,36.0,27.0,7.0,2.0,15.0,20.0,11.0,44.0,8.0,13.0,6.0,73.0,0.4931506849315068,26.0,26.0,33.0,26.0,0.0,111.0,42.0,0.467,12.0,0.387,15.0,0.75,12.0,27.0,39.0,23.0,7.0,6.0,17.0,31.0,-11.0,50.0,3.0,17.0,12.0,72.0,0.5277777777777778
1.0,1.0,0.0,0.0,27.0,35.0,37.0,25.0,0.0,124.0,48.0,0.593,20.0,0.5,8.0,0.5,6.0,31.0,37.0,41.0,10.0,4.0,18.0,17.0,12.0,48.0,4.0,15.0,5.0,76.0,0.5263157894736842,32.0,23.0,22.0,35.0,0.0,112.0,44.0,0.537,9.0,0.391,15.0,0.714,8.0,26.0,34.0,26.0,9.0,3.0,15.0,11.0,-12.0,48.0,2.0,26.0,25.0,75.0,0.48,1.0,1.0,1.0,0.0,41.0,33.0,19.0,23.0,0.0,116.0,42.0,0.462,12.0,0.353,20.0,0.714,16.0,37.0,53.0,20.0,9.0,4.0,11.0,14.0,5.0,48.0,16.0,20.0,2.0,74.0,0.5,25.0,41.0,26.0,19.0,0.0,111.0,40.0,0.435,14.0,0.389,17.0,0.895,12.0,33.0,45.0,21.0,6.0,5.0,10.0,19.0,-5.0,54.0,11.0,11.0,17.0,74.0,0.4864864864864865
1.0,0.0,0.0,0.0,29.0,41.0,35.0,36.0,0.0,141.0,48.0,0.615,22.0,0.595,23.0,0.742,3.0,29.0,32.0,28.0,8.0,4.0,16.0,21.0,9.0,50.0,4.0,15.0,12.0,77.0,0.5324675324675324,30.0,34.0,41.0,27.0,0.0,132.0,49.0,0.516,11.0,0.344,23.0,0.821,14.0,31.0,45.0,26.0,8.0,4.0,13.0,20.0,-9.0,72.0,21.0,29.0,13.0,76.0,0.631578947368421,0.0,1.0,0.0,0.0,29.0,34.0,28.0,27.0,0.0,108.0,38.0,0.507,13.0,0.361,19.0,0.679,8.0,30.0,38.0,24.0,5.0,4.0,18.0,18.0,-10.0,50.0,10.0,15.0,21.0,74.0,0.4864864864864865,26.0,29.0,23.0,30.0,0.0,118.0,47.0,0.54,14.0,0.452,10.0,0.769,8.0,34.0,42.0,32.0,8.0,2.0,9.0,23.0,10.0,46.0,12.0,5.0,4.0,75.0,0.49333333333333335
0.0,0.0,0.0,0.0,34.0,17.0,21.0,22.0,0.0,94.0,34.0,0.378,11.0,0.314,15.0,0.833,12.0,38.0,50.0,26.0,5.0,8.0,18.0,14.0,-14.0,60.0,17.0,24.0,22.0,78.0,0.5256410256410257,21.0,34.0,31.0,22.0,0.0,108.0,43.0,0.448,9.0,0.273,13.0,0.765,12.0,39.0,51.0,25.0,11.0,7.0,15.0,16.0,14.0,44.0,10.0,13.0,20.0,77.0,0.6363636363636364,1.0,0.0,0.0,0.0,31.0,28.0,26.0,36.0,0.0,121.0,45.0,0.523,7.0,0.35,24.0,0.8,13.0,32.0,45.0,22.0,10.0,3.0,16.0,14.0,11.0,58.0,29.0,19.0,18.0,76.0,0.5,20.0,31.0,25.0,34.0,0.0,110.0,45.0,0.511,9.0,0.273,11.0,0.846,6.0,26.0,32.0,31.0,10.0,4.0,14.0,22.0,-11.0,58.0,6.0,22.0,3.0,76.0,0.47368421052631576
0.0,0.0,1.0,0.0,21.0,34.0,36.0,31.0,0.0,114.0,42.0,0.494,11.0,0.379,19.0,0.826,11.0,26.0,37.0,25.0,5.0,4.0,13.0,29.0,-8.0,50.0,14.0,13.0,12.0,78.0,0.5128205128205128,31.0,25.0,34.0,24.0,0.0,122.0,42.0,0.488,7.0,0.412,31.0,0.886,14.0,26.0,40.0,21.0,6.0,5.0,7.0,15.0,8.0,56.0,19.0,6.0,9.0,79.0,0.5189873417721519,1.0,0.0,0.0,0.0,27.0,28.0,35.0,33.0,0.0,123.0,45.0,0.5,9.0,0.409,24.0,0.8,15.0,38.0,53.0,28.0,10.0,5.0,16.0,17.0,12.0,52.0,18.0,13.0,13.0,77.0,0.5064935064935064,29.0,36.0,18.0,28.0,0.0,111.0,41.0,0.432,13.0,0.333,16.0,0.842,12.0,27.0,39.0,25.0,10.0,4.0,16.0,22.0,-12.0,64.0,17.0,29.0,14.0,78.0,0.5
